Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana
ADAMANTINA,350010,0.79,3.096266,35153,411.987,0.8532550784369409,0.02729528535980149,0.11662531017369727,NA,NA,NA,42
ADOLFO,350020,0.73,2.586775,3545,211.055,0.16796569614555448,0.034482758620689655,0.22413793103448276,NA,NA,NA,42
AGUAÍ,350030,0.715,2.804103,36981,474.554,0.7792790704535206,0.02857142857142857,0.1492063492063492,NA,NA,NA,38
ÁGUAS DA PRATA,350040,0.781,2.068388,8262,142.673,0.5790864424242849,0.06349206349206349,0.19047619047619047,NA,NA,NA,52
ÁGUAS DE LINDÓIA,350050,0.745,2.642734,18908,60.126,3.1447294015899945,0.03409090909090909,0.17613636363636365,NA,NA,NA,44
ÁGUAS DE SANTA BÁRBARA,350055,0.757,2.762094,6142,404.463,0.1518556703579808,0.043478260869565216,0.13043478260869565,NA,NA,NA,40
ÁGUAS DE SÃO PEDRO,350060,0.854,4.02209,3588,3.612,9.933554817275747,0.017543859649122806,0.17543859649122806,NA,NA,NA,42
AGUDOS,350070,0.745,5.951301,37582,966.708,0.38876268738853925,0.0203527815468114,0.2808683853459973,NA,NA,NA,39
ALAMBARI,350075,0.712,1.698163,6231,159.6,0.3904135338345865,0.04938271604938271,0.12345679012345678,NA,NA,NA,32
ALFREDO MARCONDES,350080,0.741,2.0104349999999998,4201,118.915,0.3532775511920279,0.05172413793103448,0.15517241379310345,NA,NA,NA,52.5
ALTAIR,350090,0.687,2.584248,4211,313.007,0.13453373247243672,0.043478260869565216,0.30434782608695654,NA,NA,NA,47.5
ALTINÓPOLIS,350100,0.73,3.0792080000000004,16221,928.956,0.17461537467867153,0.035398230088495575,0.18584070796460178,NA,NA,NA,43
ALTO ALEGRE,350110,0.7,2.6207290000000003,4078,318.574,0.1280079353619567,0.04285714285714286,0.14285714285714285,NA,NA,NA,39
ALUMÍNIO,350115,0.766,11.388793,18903,83.66,2.2595027492230457,0.034220532319391636,0.1482889733840304,NA,NA,NA,40
ÁLVARES FLORENCE,350120,0.728,3.22457,3616,362.411,0.09977622092044668,0.07692307692307693,0.3076923076923077,NA,NA,NA,47
ÁLVARES MACHADO,350130,0.758,2.137406,25078,347.647,0.7213639122443167,0.03461538461538462,0.19230769230769232,NA,NA,NA,42.5
ÁLVARO DE CARVALHO,350140,0.688,0.963245,5320,153.662,0.34621441865913494,0.2,0.3,NA,NA,NA,35.5
ALVINLÂNDIA,350150,0.722,1.619038,3251,84.879,0.383015822523828,0,0,NA,NA,NA,33
AMERICANA,350160,0.811,4.779348000000001,244370,133.912,18.248551287412628,0.031708211143695014,0.1526759530791789,NA,NA,NA,41
AMÉRICO BRASILIENSE,350170,0.751,2.4008700000000003,41545,122.958,3.378796011646253,0.01951951951951952,0.25675675675675674,NA,NA,NA,37
AMÉRICO DE CAMPOS,350180,0.745,1.976704,5993,252.876,0.23699362533415588,0.03481012658227848,0.1962025316455696,NA,NA,NA,43
AMPARO,350190,0.785,6.480487999999999,73145,445.323,1.64251565717468,0.02702702702702703,0.16052416052416052,NA,NA,NA,40
ANALÂNDIA,350200,0.754,3.729853,5115,325.953,0.15692446457004539,0.05263157894736842,0.10526315789473684,NA,NA,NA,40
ANDRADINA,350210,0.779,3.366169,57245,964.226,0.5936886165691446,0.036593947923997186,0.22167487684729065,NA,NA,NA,40
ANGATUBA,350220,0.719,4.038656,25724,1027.288,0.250406896605431,0.02875399361022364,0.24600638977635783,NA,NA,NA,38
ANHEMBI,350230,0.721,2.714444,6911,736.557,0.0938284477643957,0,0.09090909090909091,NA,NA,NA,38
ANHUMAS,350240,0.741,1.831706,4172,320.84,0.13003366163819974,0,0.14736842105263157,NA,NA,NA,39
APARECIDA,350250,0.755,2.9969650000000003,36211,120.89,2.9953676896352057,0.03305785123966942,0.16322314049586778,NA,NA,NA,42
APARECIDA D'OESTE,350260,0.721,3.036595,4122,179.004,0.23027418381712142,0.046511627906976744,0.18023255813953487,NA,NA,NA,41
