Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana,Doses_diárias
ADAMANTINA,350010,0.79,3.096266,35153,411.987,0.8532550784369409,0.027083333333333334,0.11458333333333333,NA,NA,NA,42,NA
ADOLFO,350020,0.73,2.586775,3545,211.055,0.16796569614555448,0.0390625,0.2109375,NA,NA,NA,42,NA
AGUAÍ,350030,0.715,2.804103,36981,474.554,0.7792790704535206,0.02610966057441253,0.14360313315926893,NA,NA,NA,38,NA
ÁGUAS DA PRATA,350040,0.781,2.068388,8262,142.673,0.5790864424242849,0.07246376811594203,0.18840579710144928,NA,NA,NA,49,NA
ÁGUAS DE LINDÓIA,350050,0.745,2.642734,18908,60.126,3.1447294015899945,0.03980099502487562,0.18407960199004975,NA,NA,NA,43,NA
ÁGUAS DE SANTA BÁRBARA,350055,0.757,2.762094,6142,404.463,0.1518556703579808,0.04,0.12,NA,NA,NA,43,NA
ÁGUAS DE SÃO PEDRO,350060,0.854,4.02209,3588,3.612,9.933554817275747,0.015873015873015872,0.19047619047619047,NA,NA,NA,41,NA
AGUDOS,350070,0.745,5.951301,37582,966.708,0.38876268738853925,0.020118343195266272,0.27218934911242604,NA,NA,NA,39,NA
ALAMBARI,350075,0.712,1.698163,6231,159.6,0.3904135338345865,0.04395604395604396,0.13186813186813187,NA,NA,NA,35,NA
ALFREDO MARCONDES,350080,0.741,2.0104349999999998,4201,118.915,0.3532775511920279,0.0410958904109589,0.2054794520547945,NA,NA,NA,53,NA
ALTAIR,350090,0.687,2.584248,4211,313.007,0.13453373247243672,0.06,0.3,NA,NA,NA,47.5,NA
ALTINÓPOLIS,350100,0.73,3.0792080000000004,16221,928.956,0.17461537467867153,0.03375527426160337,0.18565400843881857,NA,NA,NA,43,NA
ALTO ALEGRE,350110,0.7,2.6207290000000003,4078,318.574,0.1280079353619567,0.038461538461538464,0.16666666666666666,NA,NA,NA,40.5,NA
ALUMÍNIO,350115,0.766,11.388793,18903,83.66,2.2595027492230457,0.03146853146853147,0.14335664335664336,NA,NA,NA,40,NA
ÁLVARES FLORENCE,350120,0.728,3.22457,3616,362.411,0.09977622092044668,0.075,0.3375,NA,NA,NA,47.5,NA
ÁLVARES MACHADO,350130,0.758,2.137406,25078,347.647,0.7213639122443167,0.0353356890459364,0.1978798586572438,NA,NA,NA,42,NA
ÁLVARO DE CARVALHO,350140,0.688,0.963245,5320,153.662,0.34621441865913494,0.1111111111111111,0.16666666666666666,NA,NA,NA,35.5,NA
ALVINLÂNDIA,350150,0.722,1.619038,3251,84.879,0.383015822523828,0,0.03225806451612903,NA,NA,NA,36,NA
AMERICANA,350160,0.811,4.779348000000001,244370,133.912,18.248551287412628,0.030522765598650928,0.1467116357504216,NA,NA,NA,41,NA
